RecordId,Y
300001,0.0017333109
300002,0.00083539146
300003,3.5845263e-05
300004,0.00066768215
300005,8.036763e-05
300006,1.9507515e-05
300007,0.00024646302
300008,0.000493071
300009,0.00071069476
300010,0.004411246
300011,0.00017193182
300012,1.0345243e-05
300013,6.8665e-06
300014,0.00011015457
300015,5.69179e-05
300016,0.0004091285
300017,0.0021767386
300018,0.0009647365
300019,2.324839e-05
300020,8.440772e-06
300021,0.002370201
300022,4.3914447e-06
300023,8.451047e-05
300024,0.00014621754
300025,0.037221596
300026,7.799425e-05
300027,0.00013097808
300028,0.0028892967
300029,0.11241993
300030,2.6670312e-05
300031,0.00077427865
300032,2.7327796e-05
300033,7.364736e-05
300034,3.266449e-05
300035,0.00053030933
300036,0.0008938803
300037,1.2594869e-05
300038,0.0005503629
300039,0.00024508892
300040,0.00023309673
300041,0.00038528856
300042,1.8153642e-05
300043,0.0006294931
300044,0.0001326595
300045,0.00015896464
300046,0.00025172357
300047,0.00038778599
300048,2.8634331e-05
300049,0.001416284
300050,0.000965893
300051,3.818996e-06
300052,0.0013004601
300053,0.0002487373
300054,8.7764645e-05
300055,0.00012095986
300056,4.948499e-05
300057,3.3668894e-05
300058,0.0014460731
300059,0.001759507
300060,8.1223225e-05
300061,2.8091867e-05
300062,0.00013455673
300063,0.0001488155
300064,7.053426e-05
300065,0.0052881497
300066,5.272503e-05
300067,5.9820464e-05
300068,0.0006223162
300069,4.8340942e-05
300070,0.00060165644
300071,0.00027671375
300072,0.00032528167
300073,5.0496765e-06
300074,0.007606737
300075,9.255561e-06
300076,2.7012828e-05
300077,2.302444e-05
300078,0.00015028054
300079,0.0010830516
300080,9.938512e-05
300081,1.2856868e-05
300082,3.717387e-05
300083,0.0006480538
300084,0.008311222
300085,4.6528545e-05
300086,7.2766866e-06
300087,4.28998e-05
300088,0.00029369496
300089,4.462018e-05
300090,1.7397519e-05
300091,2.0744357e-05
300092,4.012418e-05
300093,0.0024791416
300094,0.0010978386
300095,4.866796e-05
300096,0.00010892017
300097,0.0005876617
300098,0.0063552335
300099,0.009691556
300100,0.0002835101
300101,1.1912849e-05
300102,0.00047889876
300103,0.055644844
300104,0.010009076
300105,0.0005585481
300106,2.3022574e-05
300107,3.6862475e-05
300108,0.00026770504
300109,5.5668068e-05
300110,4.746742e-05
300111,0.0002745091
300112,3.910458e-05
300113,3.8831e-05
300114,0.00032957314
300115,0.005700294
300116,0.00091504084
300117,3.4984132e-05
300118,2.1150832e-05
300119,1.4660577e-05
300120,0.0016765145
300121,3.8012859e-06
300122,1.8665056e-05
300123,8.399628e-05
300124,0.0010870037
300125,0.000147097
300126,0.00053939706
300127,6.3377292e-06
300128,5.6146884e-05
300129,0.00023800124
300130,0.00019490157
300131,1.2358406e-05
300132,0.00013611485
300133,0.0012221925
300134,0.0006447558
300135,0.00025644567
300136,0.00011645146
300137,8.7312204e-05
300138,0.010073131
300139,5.6201043e-05
300140,7.2127436e-06
300141,0.0027682579
300142,0.005500886
300143,0.0017475137
300144,0.00026854916
300145,3.7998998e-05
300146,0.010457869
300147,0.008608131
300148,1.1837031e-05
300149,0.0033840036
300150,0.000112124995
300151,0.0010638523
300152,0.000101106605
300153,0.00025136193
300154,8.150977e-05
300155,0.0042377883
300156,0.03674199
300157,0.00024393422
300158,5.2374842e-05
300159,1.11544305e-05
300160,1.1008792e-05
300161,0.00010741509
300162,2.8867358e-05
300163,0.00019894246
300164,3.1252835e-05
300165,4.9452865e-05
300166,1.552153e-05
300167,0.000103409315
300168,2.6390262e-05
300169,6.1468063e-06
300170,0.004311551
300171,0.0005882933
300172,0.0004757595
300173,3.6683803e-05
300174,0.00021446178
300175,0.00065481017
300176,5.7706816e-06
300177,2.7704713e-05
300178,0.00019375484
300179,5.889129e-05
300180,4.803196e-05
300181,0.00038944828
300182,7.154928e-05
300183,0.00062701834
300184,4.0992425e-05
300185,0.0039528906
300186,0.00029733247
300187,0.01522441
300188,1.2893643e-05
300189,0.00088758505
300190,0.00016891443
300191,0.00012405809
300192,6.9415446e-06
300193,0.00025813733
300194,0.00010896089
300195,8.098902e-06
300196,0.0002381472
300197,0.00023021614
300198,0.0021038104
300199,8.868419e-06
300200,5.4262866e-05
300201,8.508046e-05
300202,0.0003241913
300203,0.0018906693
300204,0.013792848
300205,0.00047982475
300206,3.0012743e-05
300207,9.218792e-06
300208,4.0658426e-05
300209,2.1264557e-05
300210,0.00017387823
300211,9.241038e-05
300212,1.8167844e-05
300213,4.172431e-05
300214,6.681788e-05
300215,7.441594e-05
300216,1.956725e-05
300217,0.0017021098
300218,1.1146306e-05
300219,0.0031019123
300220,0.00022147446
300221,4.1557514e-06
300222,0.00017040841
300223,0.00015431688
300224,0.0031302185
300225,0.0014916699
300226,4.6762565e-05
300227,0.0040825657
300228,0.00022333988
300229,5.1953455e-05
300230,0.00027340243
300231,7.054624e-05
300232,6.904383e-05
300233,2.160504e-05
300234,7.2066694e-05
300235,0.0001680386
300236,0.0043311114
300237,0.0108233895
300238,5.7586596e-05
300239,1.6466394e-06
300240,0.00012949518
300241,9.0245274e-05
300242,0.0007352879
300243,0.00024350737
300244,2.6951278e-05
300245,0.011159058
300246,0.00056338153
300247,3.5093449e-06
300248,4.047073e-05
300249,1.9858899e-05
300250,0.000298819
300251,4.2609367e-06
300252,0.0005870823
300253,0.00088583527
300254,0.0009743381
300255,9.926351e-05
300256,0.000121837315
300257,3.4523717e-05
300258,5.8278263e-05
300259,0.000272186
300260,1.9503032e-05
300261,0.0002951006
300262,3.172664e-05
300263,0.0023945943
300264,1.2461998e-05
